name,tree_correct,site_correct,lon,lat,zcoord,description,parent material ,soil name,family,available water storage (0-100cm),total plant available water(cm) ,drainage,runoff,min bedrock depth (cm) if available,notes for soils,ChoiceOrder
BORR,2,BLU,-121.7292113,37.39750763,0,,residuum weathered from shale and/or residuum weathered from sandstone,Los Gatos-Gaviota Complex,"Fine-loamy, mixed, active, mesic Typic Argixerolls",11.8,13.49,well drained,high,48,Could be Gaviota-Los Gatos complex,1
BORR,3,BLU,-121.7292113,37.39750763,0,,residuum weathered from shale and/or residuum weathered from sandstone,Los Gatos-Gaviota Complex,"Fine-loamy, mixed, active, mesic Typic Argixerolls",11.8,13.49,well drained,high,48,Could be Gaviota-Los Gatos complex,1
BORR,4,BLU,-121.7292113,37.39750763,0,,residuum weathered from shale and/or residuum weathered from sandstone,Los Gatos-Gaviota Complex,"Fine-loamy, mixed, active, mesic Typic Argixerolls",11.8,13.49,well drained,high,48,Could be Gaviota-Los Gatos complex,1
BORR,516,BLU,-121.7292113,37.39750763,0,,residuum weathered from shale and/or residuum weathered from sandstone,Los Gatos-Gaviota Complex,"Fine-loamy, mixed, active, mesic Typic Argixerolls",11.8,13.49,well drained,high,48,Could be Gaviota-Los Gatos complex,1
BORR,518,BLU,-121.7292113,37.39750763,0,,residuum weathered from shale and/or residuum weathered from sandstone,Los Gatos-Gaviota Complex,"Fine-loamy, mixed, active, mesic Typic Argixerolls",11.8,13.49,well drained,high,48,Could be Gaviota-Los Gatos complex,1
BORR,519,BLU,-121.7292113,37.39750763,0,,residuum weathered from shale and/or residuum weathered from sandstone,Los Gatos-Gaviota Complex,"Fine-loamy, mixed, active, mesic Typic Argixerolls",11.8,13.49,well drained,high,48,Could be Gaviota-Los Gatos complex,1
BORR,all,BLU,-121.7292113,37.39750763,0,,residuum weathered from shale and/or residuum weathered from sandstone,Gaviota-Los Gatos complex,"Loamy, mixed, superactive, nonacid, thermic Lithic Xerorthents",9.94,7.2,well drained,very high,48,Likely Los Gaots-Gaviota Complex,2
Dales,1,DAL,-122.0981766,40.30090364,0,approximate based on lat-lon that falls on the road,residuum weathered from volcanic breccia,Toomes very rocky loam ,"LITHIC RUPTIC-XERORTHENTIC XEROCHREPTS, LOAMY, MIXED, THERMIC",3.46,4.2,well drained,high ,na,,1
Dales,2,DAL,-122.0981766,40.30090364,0,approximate based on lat-lon that falls on the road,residuum weathered from volcanic breccia,Toomes very rocky loam ,"LITHIC RUPTIC-XERORTHENTIC XEROCHREPTS, LOAMY, MIXED, THERMIC",3.46,4.2,well drained,high ,na,,1
Dales,3,DAL,-122.0981766,40.30090364,0,approximate based on lat-lon that falls on the road,residuum weathered from volcanic breccia,Toomes very rocky loam ,"LITHIC RUPTIC-XERORTHENTIC XEROCHREPTS, LOAMY, MIXED, THERMIC",3.46,4.2,well drained,high ,na,,1
Dales,4,DAL,-122.0981766,40.30090364,0,approximate based on lat-lon that falls on the road,residuum weathered from volcanic breccia,Toomes very rocky loam ,"LITHIC RUPTIC-XERORTHENTIC XEROCHREPTS, LOAMY, MIXED, THERMIC",3.46,4.2,well drained,high ,na,,1
Dales,5,DAL,-122.0981766,40.30090364,0,approximate based on lat-lon that falls on the road,residuum weathered from volcanic breccia,Toomes very rocky loam ,"LITHIC RUPTIC-XERORTHENTIC XEROCHREPTS, LOAMY, MIXED, THERMIC",3.46,4.2,well drained,high ,na,,1
MineralSprings,1,MIN,-122.0237745,40.31296573,0,no tree-specific locs,residuum weathered from volcanic breccia,Supan stony loam ,"PACHIC ARGIXEROLLS, FINE-LOAMY, MIXED, MESIC",14.24,16.79,well drained,very high ,117,,1
MineralSprings,2,MIN,-122.0237745,40.31296573,0,no tree-specific locs,residuum weathered from volcanic breccia,Supan stony loam ,"PACHIC ARGIXEROLLS, FINE-LOAMY, MIXED, MESIC",14.24,16.79,well drained,very high ,117,,1
MineralSprings,3,MIN,-122.0237745,40.31296573,0,no tree-specific locs,residuum weathered from volcanic breccia,Supan stony loam ,"PACHIC ARGIXEROLLS, FINE-LOAMY, MIXED, MESIC",14.24,16.79,well drained,very high ,117,,1
MineralSprings,4,MIN,-122.0237745,40.31296573,0,no tree-specific locs,residuum weathered from volcanic breccia,Supan stony loam ,"PACHIC ARGIXEROLLS, FINE-LOAMY, MIXED, MESIC",14.24,16.79,well drained,very high ,117,,1
MineralSprings,5,MIN,-122.0237745,40.31296573,0,no tree-specific locs,residuum weathered from volcanic breccia,Supan stony loam ,"PACHIC ARGIXEROLLS, FINE-LOAMY, MIXED, MESIC",14.24,16.79,well drained,very high ,117,,1
PaynesCreek,1,PAY,-121.824967,40.34589,870,, residuum weathered from volcanic breccia,Supan stony loam ,"PACHIC ARGIXEROLLS, FINE-LOAMY, MIXED, MESIC",14.24,16.79,well drained ,very high ,117,,1
PaynesCreek,2,PAY,-121.824967,40.34589,870,, residuum weathered from volcanic breccia,Supan stony loam ,"PACHIC ARGIXEROLLS, FINE-LOAMY, MIXED, MESIC",14.24,16.79,well drained ,very high ,117,,1
PaynesCreek,3,PAY,-121.824967,40.34589,870,, residuum weathered from volcanic breccia,Supan stony loam ,"PACHIC ARGIXEROLLS, FINE-LOAMY, MIXED, MESIC",14.24,16.79,well drained ,very high ,117,,1
PaynesCreek,4,PAY,-121.824967,40.34589,870,, residuum weathered from volcanic breccia,Supan stony loam ,"PACHIC ARGIXEROLLS, FINE-LOAMY, MIXED, MESIC",14.24,16.79,well drained ,very high ,117,,1
PaynesCreek,5,PAY,-121.824967,40.34589,870,, residuum weathered from volcanic breccia,Supan stony loam ,"PACHIC ARGIXEROLLS, FINE-LOAMY, MIXED, MESIC",14.24,16.79,well drained ,very high ,117,,1
PW,10705,PWD,-122.6983541,38.58192519,386,Don't have tree-specific points here,residuum weathered from rhyolite,Laniger loam,"Medial, thermic Andic Xerochrepts",10.24,10.24,well drained,high,64,Might be Yorkville,1
PW,543,PWD,-122.6983541,38.58192519,386,Don't have tree-specific points here,residuum weathered from rhyolite,Laniger loam,"Medial, thermic Andic Xerochrepts",10.24,10.24,well drained,high,64,Might be Yorkville,1
PW,544,PWD,-122.6983541,38.58192519,386,Don't have tree-specific points here,residuum weathered from rhyolite,Laniger loam,"Medial, thermic Andic Xerochrepts",10.24,10.24,well drained,high,64,Might be Yorkville,1
PW,546,PWD,-122.6983541,38.58192519,386,Don't have tree-specific points here,residuum weathered from rhyolite,Laniger loam,"Medial, thermic Andic Xerochrepts",10.24,10.24,well drained,high,64,Might be Yorkville,1
PW,547,PWD,-122.6983541,38.58192519,386,Don't have tree-specific points here,residuum weathered from rhyolite,Laniger loam,"Medial, thermic Andic Xerochrepts",10.24,10.24,well drained,high,64,Might be Yorkville,1
CNT,272,CNT,-120.5394247,36.39410734,0,,marine calcareous sandstone,Domengine-Lilten-Rock outcrop complex,"Fine-loamy, mixed, superactive, thermic Calcic Haploxerolls",18.13,18.23,well drained,high ,99,"45% Domengine, 25% Lilten, 15% rock outcrop",1
CNT,273,CNT,-120.5390243,36.39369897,0,,marine calcareous sandstone,Domengine-Lilten-Rock outcrop complex,"Fine-loamy, mixed, superactive, thermic Calcic Haploxerolls",18.13,18.23,well drained,high ,99,"45% Domengine, 25% Lilten, 15% rock outcrop",1
CNT,400,CNT,-120.5405294,36.39512149,0,,marine calcareous sandstone,Domengine-Lilten-Rock outcrop complex,"Fine-loamy, mixed, superactive, thermic Calcic Haploxerolls",18.13,18.23,well drained,high ,99,"45% Domengine, 25% Lilten, 15% rock outcrop",1
CNT,271,CNT,-120.5389212,36.39476409,0,,marine calcareous sandstone,Domengine-Lilten-Rock outcrop complex,"Fine-loamy, mixed, superactive, thermic Calcic Haploxerolls",18.13,18.23,well drained,high ,99,"45% Domengine, 25% Lilten, 15% rock outcrop",1
CNT,UNL,CNT,-120.53895,36.39402843,0,,marine calcareous sandstone,Domengine-Lilten-Rock outcrop complex,"Fine-loamy, mixed, superactive, thermic Calcic Haploxerolls",18.13,18.23,well drained,high ,99,"45% Domengine, 25% Lilten, 15% rock outcrop",1
CNT,23,CNT,-120.5396021,36.39404402,0,,marine calcareous sandstone,Domengine-Lilten-Rock outcrop complex,"Fine-loamy, mixed, superactive, thermic Calcic Haploxerolls",18.13,18.23,well drained,high ,99,"45% Domengine, 25% Lilten, 15% rock outcrop",1
