time,Site,Tree,mAl_As,psis,al_without sapwood correction,Ca,T1,T2,T3,D1,D2,D3,al_true,al_low
1,BLU,2,15.79277832,-3.6,111.6325718,408,18.10840988,26.30190849,29.80448151,1155.100586,2761.853027,3533.16626,70,35
2,BLU,3,13.45659783,-3.925,95.11908499,408,18.10840988,26.30190849,29.80448151,1155.100586,2761.853027,3533.16626,59,29.5
3,BLU,4,15.29957059,-2.55,108.1462918,408,18.10840988,26.30190849,29.80448151,1155.100586,2761.853027,3533.16626,67,33.5
4,BLU,516,21.87951618,-3.55,154.6571864,408,18.10840988,26.30190849,29.80448151,1155.100586,2761.853027,3533.16626,96,48
5,BLU,518,25.0579602,-2.4,177.1242832,408,18.10840988,26.30190849,29.80448151,1155.100586,2761.853027,3533.16626,110,55
6,CNT,23,27.05213151,-2.727333333,191.2202496,408,26.186409,30.40663719,34.06275177,2597.986328,3843.169922,4853.216309,119,59.5
7,CNT,271,20.40678175,-1.8312,144.2470402,408,26.186409,30.40663719,34.06275177,2597.986328,3843.169922,4853.216309,90,45
8,CNT,272,17.74566023,-3.1825,125.4366806,408,26.186409,30.40663719,34.06275177,2597.986328,3843.169922,4853.216309,78,39
9,CNT,273,24.28707279,-2.498133333,171.6752013,408,26.186409,30.40663719,34.06275177,2597.986328,3843.169922,4853.216309,107,53.5
10,CNT,400,24.79437563,-1.066666667,175.2611137,408,26.186409,30.40663719,34.06275177,2597.986328,3843.169922,4853.216309,109,54.5
11,HOP,1,15.23735785,-3.460466667,107.7065359,408,23.53360748,28.48072243,34.68695068,1924.257568,3397.289063,5041.291016,67,33.5
12,HOP,2,18.15707242,-2.663366667,128.344782,408,23.53360748,28.48072243,34.68695068,1924.257568,3397.289063,5041.291016,80,40
13,HOP,3,22.86227821,-3.830166667,161.6039219,408,23.53360748,28.48072243,34.68695068,1924.257568,3397.289063,5041.291016,101,50.5
14,HOP,6,14.94964779,-3.232133333,105.6728333,408,23.53360748,28.48072243,34.68695068,1924.257568,3397.289063,5041.291016,66,33
15,HOP,7,23.27641791,-4.1514,164.5313029,408,23.53360748,28.48072243,34.68695068,1924.257568,3397.289063,5041.291016,103,51.5
16,LPD,1,20.31196453,-3.759833333,143.5768167,408,26.43502998,30.08494186,34.91506958,2626.527588,3694.376221,4885.907715,90,45
17,LPD,2,19.85402744,-3.7075,140.3398502,408,26.43502998,30.08494186,34.91506958,2626.527588,3694.376221,4885.907715,87,43.5
18,LPD,3,12.43901393,-3.523,87.92620823,408,26.43502998,30.08494186,34.91506958,2626.527588,3694.376221,4885.907715,55,27.5
19,LPD,4,11.9926244,-4.219166667,84.7708666,408,26.43502998,30.08494186,34.91506958,2626.527588,3694.376221,4885.907715,53,26.5
20,LPD,5,18.86498142,-3.405766667,133.3486958,408,26.43502998,30.08494186,34.91506958,2626.527588,3694.376221,4885.907715,83,41.5
21,LYN,1,19.55824928,-1.295922544,138.2491176,408,24.84207153,27.26944733,33.83848953,2584.214355,3028.495361,4816.25293,86,43
22,LYN,2,31.24740127,-2.140237849,220.8748641,408,24.84207153,27.26944733,33.83848953,2584.214355,3028.495361,4816.25293,137,68.5
23,LYN,3,12.36222844,-1.03812506,87.38344361,408,24.84207153,27.26944733,33.83848953,2584.214355,3028.495361,4816.25293,54,27
24,LYN,4,26.69477898,-1.860854498,188.6942735,408,24.84207153,27.26944733,33.83848953,2584.214355,3028.495361,4816.25293,118,59
25,LYN,5,18.7232722,-1.16807157,132.3470124,408,24.84207153,27.26944733,33.83848953,2584.214355,3028.495361,4816.25293,82,41
