,Site,SiteName,Tree,Psi,As,gs_mmol
1,SMR,Santa Maria,2,-4,6.423380343,48.0206678
2,CNT,Cantua Creek,271,-3.18,7.740728986,62.34497267
3,CNT,Cantua Creek,272,-4.75,4.703228959,30.47918381
4,LPD,Los Padres,4,-4.85,4.859945897,32.36884338
5,LPD,Los Padres,5,-4.125,2.599575737,15.64684231
6,PWD,PW,547,-1.8,NA,NA
7,PWD,PW,547,-1.7,NA,NA
8,PWD,PW,547,-1.7,NA,NA
9,PWD,PW,546,-2.6,8,100
10,PWD,PW,546,-2.6,14,200
11,PWD,PW,546,-2.1,15,190
12,PWD,PW,10705,-2.4,NA,NA
13,PWD,PW,10705,-2.95,NA,NA
14,PWD,PW,10705,-2.7,NA,NA
15,PWD,PW,544,-2.5,NA,NA
16,PWD,PW,544,-2.45,NA,NA
17,PWD,PW,544,-1.7,NA,NA
18,PWD,PW,543,-1.8,20,290
19,PWD,PW,543,-1.3,9.5,125
20,PWD,PW,543,-1.25,17.8,260
21,BLU,BORR,516,-4.1,NA,NA
22,BLU,BORR,516,-3.85,NA,NA
23,BLU,BORR,2,-3.8,NA,NA
24,BLU,BORR,3,-4.2,3.9,34
25,BLU,BORR,3,-4.2,4.1,34
26,BLU,BORR,4,-3.6,NA,NA
27,BLU,BORR,518,-3.4,7,100
28,BLU,BORR,518,-3.55,9,90
29,BLU,BORR,519,-3.2,NA,NA
30,BLU,BORR,519,NA,NA,NA
31,SMT,SummitCity,Q511,-4.7,4.6,38
32,SMT,SummitCity,Q510,-2.2,13,140
33,SMT,SummitCity,Q510,NA,14.7,190
34,SMT,SummitCity,Q509,-3.45,NA,NA
35,SMT,SummitCity,Q508,-2.7,NA,NA
36,SMT,SummitCity,Q508,NA,NA,NA
37,SMT,SummitCity,Q507,-2.85,NA,NA
38,SMT,SummitCity,Q507,NA,NA,NA
39,SMT,SummitCity,Q506,-3.45,NA,NA
40,SMT,SummitCity,QXXX,-4.9,5.1,37
41,SMT,SummitCity,QXXX,NA,6.1,45
42,LYN,Lyonsville,1,-3.5,6.5,67
43,LYN,Lyonsville,1,NA,NA,NA
44,LYN,Lyonsville,2,-4,4.3,38
45,LYN,Lyonsville,2,NA,NA,NA
46,LYN,Lyonsville,3,-3.8,NA,NA
47,LYN,Lyonsville,3,NA,NA,NA
48,LYN,Lyonsville,4,-3.6,NA,NA
49,LYN,Lyonsville,5,-3.55,8,98
50,LYN,Lyonsville,6,-2.7,7.3,81
51,LYN,Lyonsville,7,-3.75,NA,NA
52,LYN,Lyonsville,7,NA,NA,NA
53,MIN,MineralSprings,1,NA,NA,NA
54,MIN,MineralSprings,2,NA,NA,NA
55,MIN,MineralSprings,3,NA,NA,NA
56,MIN,MineralSprings,4,NA,NA,NA
57,MIN,MineralSprings,5,NA,NA,NA
58,MIN,MineralSprings,1,-3.2,NA,NA
59,MIN,MineralSprings,2,-3.3,NA,NA
60,MIN,MineralSprings,3,-4.4,NA,NA
61,MIN,MineralSprings,4,-4.25,NA,NA
62,MIN,MineralSprings,5,-2.9,NA,NA
63,LYN,Lyonsville,1,NA,NA,NA
64,LYN,Lyonsville,2,NA,NA,NA
65,LYN,Lyonsville,3,NA,NA,NA
66,LYN,Lyonsville,4,NA,NA,NA
67,LYN,Lyonsville,5,NA,NA,NA
68,DAL,Dales,1,-4.3,NA,NA
69,DAL,Dales,2,-3.2,NA,NA
70,DAL,Dales,3,-2.4,NA,NA
71,DAL,Dales,4,-2.4,NA,NA
72,DAL,Dales,5,-3.1,NA,NA
73,PAY,PaynesCreek,1,-2.25,NA,NA
74,PAY,PaynesCreek,2,-1.9,NA,NA
75,PAY,PaynesCreek,3,-2.15,NA,NA
76,PAY,PaynesCreek,4,-1.85,NA,NA
77,PAY,PaynesCreek,5,-1.95,NA,NA
